moon,9
doom,-9
bullish,8
bull,8
bear,-8
bearish,-8
law,-4
feds,-3
federal,-3
bank,1
bankers,1
million,5
ferrari,6
lambo,7
profit,3
little,1
short,-4
long,4
fees,-1
buy,3
sell,-3
pump,4
dump,-4
believe,2
stop,-1
suicide,-7
kill,-4
network,1
value,1
momentum,2
elevator,6
privacy,1
bb,1
golden,5
cross,0
death,-5
china,-3
risk,-3
risky,-3
satoshi,2
